X1,srch_id,date_time,site_id,visitor_location_country_id,prop_country_id,prop_id,prop_starrating,prop_brand_bool,prop_location_score1,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,random_bool,click_bool,booking_bool,address,categories,city,country,lat,lon,name,postalCode,province,reviews.text,path,path_fasilitas,path_kamar,path_km
256148,17153,22/04/2013,33,164,39,26130,3,0,4.04,4.91,19,101.72,0,15122,2,20,2,1,1,0,1,1,0,1932 Lima Sandusky Rd,"Lodging,Corporate Lodging,Hotels",Sandusky,US,41.44144,-82.79705,Howard Johnson,44870,Bloomingville,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,01.png,ini-hotel-dengan-fasilitas-spa-terbesar-di-dunia-mEB-thumb.png,Kamar-Hotel-Terbaik-2019-Ada-dari-Indonesia.png,photo_34153577.png
256149,17153,22/04/2013,33,164,39,27439,3,0,3.95,5.16,18,136.6,1,15122,2,20,2,1,1,0,1,0,0,5820 Walden Rd,"Lodging,Motels,Hotels,Meeting & Event Planning Services",Beaumont,US,30.03867,-94.15933,La Quinta,77707,TX,"This hotel is a dump! Upon checking in was told that the place was booked with folks who are running from Isaac -- the folks are depressed, sad and crying -- we got a room with no problem as a matter of fact the parking lot and inside hotel were rather empty despite the fact that the place was booked -- the room reaked -- air conditioning unit blew out luke warm air despite having control turned to high cool -- linens and bath towels were rough and ...view morewell worn. The corridors reaked of curry/incense and it was obvious other air freshners were used to mask the obvious odors. Not opposed to other cultures but if you are going to have that sort of thing waifing through the hotel you should advertise such. My expectations are a clean room with no visible signs of anything else... would NOT recommend this place... BTW the free breakfast was nothing more than day old bakery goods with what was suppose to be biscuits and gravy... the folks running from Isaac would have been better off to weather the storm! Use this place only as a very last resort!view less",1246280_16061017110043391702.png,Pengalaman-Menginap-di-Hard-Rock-Hotel-Singapura-yang-Bernuansa-Rock-n-Roll-1.png,Trans-Luxury-Hotel-Bandung.png,12-image_1507806674_59df4dd24e1e7.png
256150,17153,22/04/2013,33,164,39,42099,3,0,0,5.06,26,96.03,0,15122,2,20,2,1,1,0,1,0,0,2700 S Country Club Rd,Hotels,El Reno,US,35.50517,-97.97284,Days Inn El Reno Ok,73036,OK,"Room looked to be in disrepair, bathroom door didn't shut without force. The hostess was very unprofessional with her stars and bar finger nails.",1604614790315.png,Y904407088.png,855328880.png,2020_06_18-_-Desain-kamar-mandi-hotel-hotel-terbaik-di-dunia.png
256151,17153,22/04/2013,33,164,39,48377,4,0,4.33,4.94,4,96.07,0,15122,2,20,2,1,1,0,1,0,0,23525 N E Halsey St,"Hotels,Lodging",Troutdale,US,45.53678,-122.42104,Gresham Area Hotels,97060,OR,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,5fed9d32d8420.png,10010930-2048x1536-FIT_AND_TRIM-ddc3a13e425072054a8ffb26bbdb3cc3.png,Aplikasi Pemesanan Kamar Hotel Antisipasi Kenaikan Permintaan Libur Lebaran.png,36.png
256152,17153,22/04/2013,33,164,39,59797,3,0,3.74,4.59,7,80.93,0,15122,2,20,2,1,1,0,1,0,0,1118 Government St,"Bed & Breakfasts,Hotels,Hotels & Motels,Lodging,Bed & Breakfast & Inns,Motels",Mobile,US,30.684177,-88.062045,Berney Fly Bed and Breakfast,36604,AL,"We stayed in the poolside room for one night and loved being in the backyard by the pool. The grounds are beautifully landscaped with trees and vines and flowers inside a privacy fence. It was a comfortable and very safe feeling for two ladies traveling alone. The shower was brand new, and our room was extremely clean. Our host was... More",96959_v6.png,20001298-476e1b64c017ec1946ef669c4fe28e39.png,Cara-Membedakan-Hotel-Bintang-Satu-Hingga-Lima.png,5db25f8d51968.png
256153,17153,22/04/2013,33,164,39,69022,4,0,4.51,5.29,3,144.51,0,15122,2,20,2,1,1,0,1,0,0,2131 Kalakaua Ave,"Vacation Rentals,Resorts & Vacation Cottages,Vacation Home Rental,Hotels,Hotels & Motels,Apartments,Apartment Operators,Resorts",Honolulu,US,21.281574,-157.830789,Polynesian Plaza,96815,Hono,"When we had booked this hotel we had emailed in advanced asking if we could store out luggage while we went camping, they seemed to have no problem with this, until we arrived. When we asked where we would keep our bags the lady insisted we must have been confused even after we had shown her the email stating we... More",cd0d60d6_y.png,772cc72f9d0169bf8e9f619dd47097bb.png,Conrad-Seoul.png,aad95d3666d3d52c381be4c11cf367da.png
256154,17153,22/04/2013,33,164,39,83953,4,0,3.83,5.07,8,117.28,0,15122,2,20,2,1,1,0,1,0,0,Ostseeallee 10 12,"Gastronomic specialties,Meat,Foods, precooked and gourmet,Hotel,Meat, preserved,Hotels",Harleigh,US,54.1533,11.75432,Hotel Vier Jahreszeiten KÜhlungsborn,18225,PA,"Schnes,grosses Zimmer. Sehr sauber und super Frhstck. W-LAN leider nur fr 1 Gert inklusive",even-hotels-eugene-5405616297-4x3.png,akusara-jungle-resort-and-spa.png,download.png,image_1507810068_59df5b14811f9.png
256155,17153,22/04/2013,33,164,202,112712,3,0,0.69,4.16,24,40.57,0,15122,2,20,2,1,1,0,1,0,0,Po Box 1327,"Hotels,Hotel,Restaurants",Saranac Lake,US,44.304794,-74.336525,The Point,12983,Lake Colby,I have written about The Point previously but wanted to validate another fantastic time here. We celebrated our 20th anniversary at The Point this past week. GM Cameron Karger and team outdid themselves again and again and again. We will be back again and again and again.,fachada.png,ATM_1152.png,hotel-1330834_1280-770x424.png,Kamar Mandi Mewah.png
256156,17153,22/04/2013,33,164,39,117441,4,1,3.22,5.46,22,119.48,0,15122,2,20,2,1,1,0,1,0,0,111 N Post Oak Ln,Hotels,Houston,US,29.768461,-95.459631,The Houstonian Hotel,77024,Bunker Hill Village,"The only place i'll stay in Houston. Fantastic service, incredibly friendly staff, great food and the best fitness options in the entire city. The rooms are a bit small and bathrooms are not luxurious by today's standards, but they are more than adequate and everything else about the place more than makes up for any shortcomings in that department.",01.png,bar-hotel-terbaik-versi-alia-akkam-2.png,Hotel-Instagramable-di-Jakarta-9-Traveloka.png,Kamar-Mandi-Ala-Hotel-ini-735x400.png
256157,17153,22/04/2013,33,164,39,118395,3,1,4.36,5.18,1,133.61,0,15122,2,20,2,1,1,0,1,0,0,375 Main St,"Hotels,Hotel",Waterville,US,44.57059,-69.64012,Best Western Plus Waterville Grand Hotel,4901,ME,"I asked for a nonsmoking room and was pleased with the fact that it didn't seem like other people were smoking, so that's good. You get a 7 breakfast credit for the restaurant which was cool, although I think I prefer traditional continental breakfasts that are buffet style. The wifi was fast, so that was good. I didn't use the pool/hot tub/gym BUT it looked clean and ready to use. The staff was very friendly and helpful.",1246280_16061017110043391702.png,belviu-hotel-bandung-promo-buy-one-get_200304150028-699.png,interior-kamar-hotel-bintang-5-28.png,Kamar-mandi-hotel.png
256158,17153,22/04/2013,33,164,39,119588,4,0,4.3,5.32,14,149.35,0,15122,2,20,2,1,1,0,1,0,0,2790 Blue Star Hwy,"Bed & Breakfast & Inns,Lodging,Hotels",Fennville,US,42.621235,-86.21178,The Amble Inn,49408,MI,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,1604614790315.png,fasilitas-hotel-6.png,interior-modern-comfortable-hotel-room-scaled.png,photo-kamar-mandi-utama-master-room-bathroom-desain-arsitek-oleh-wirianto-witarsa.png
256159,17153,22/04/2013,33,164,202,132043,4,0,0.69,5.25,12,63.39,0,15122,2,20,2,1,1,0,1,0,0,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914,Howard Johnson Inn Columbia,65201,Elkhurst,"Stay here alot, kids go to school in Columbia and this hotel has become my home away from home.",5fed9d32d8420.png,green-bar-at-hotel-cafe.png,Kamar-Hotel-Bintang-3...png,photo_34153577.png
256160,17153,22/04/2013,33,164,39,137576,4,0,2.71,5.2,27,155.33,0,15122,2,20,2,1,1,0,1,0,0,4616 Osage Beach Pkwy,"Motels,Lodging,Hotels,Bed & Breakfast & Inns",Osage Beach,US,38.14468,-92.629776,Osage Village Inn,65065,MO,The motel was clean and comfortable bed and a good location. People were courteous had a nice breakfast complementary.,96959_v6.png,hotel-yasmin-puncak-e1503038242833.png,Kamar-Hotel-Terbaik-2019-Ada-dari-Indonesia.png,12-image_1507806674_59df4dd24e1e7.png
256161,17153,22/04/2013,33,164,202,137917,3,0,0,4.16,15,84.18,0,15122,2,20,2,1,1,0,1,0,0,5719 Fairfield Rd,Hotels,Columbia,US,34.06241,-81.02341,Super 8 Columbia Dwntwn Sc,29203-3305,SC,"The hotel itself was not the best, the owners were friendly.",cd0d60d6_y.png,ini-hotel-dengan-fasilitas-spa-terbesar-di-dunia-mEB-thumb.png,Trans-Luxury-Hotel-Bandung.png,2020_06_18-_-Desain-kamar-mandi-hotel-hotel-terbaik-di-dunia.png
445474,29853,7/1/2013,33,164,164,8254,5,1,2.64,5.61,4,172.02,0,13741,2,36,2,0,1,0,1,0,0,Corner Rt 9 Route 35,"Bed & Breakfast & Inns,Hotels,Lodging",Kennebunkport,US,43.36319,-70.47717,The Kingsport Inn,4046,ME,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,even-hotels-eugene-5405616297-4x3.png,Pengalaman-Menginap-di-Hard-Rock-Hotel-Singapura-yang-Bernuansa-Rock-n-Roll-1.png,855328880.png,36.png
445475,29853,7/2/2013,33,164,164,12193,2,0,2.56,3.23,14,16.2,1,13741,2,36,2,0,1,0,1,0,0,Carretera Cancun,Hotels,Mont Belvieu,US,20.90572,-86.84786,Azul Beach Hotel By Karisma Gourmet Inclusive,77580,TX,"The Hotel was perfect and the food was excellent, close to the beach, 5 kind of restaurant, the Hotel staff is very friendly,",fachada.png,Y904407088.png,Aplikasi Pemesanan Kamar Hotel Antisipasi Kenaikan Permintaan Libur Lebaran.png,5db25f8d51968.png
445476,29853,7/3/2013,33,164,164,12833,3,0,3,2.85,2,27,0,13741,2,36,2,0,1,0,1,0,0,309 S Meridian Ave,"Hotels,Motels,Lodging",Oklahoma City,US,35.463253,-97.60122,Red Roof Inn,73108,OK,"We made our reservations a month in advance, my wife called on the day we are suppose to check in, gets the run around of whether or not they will have a room or not! Who runs a business like this When they found a room we were given a couple cards, neither of which opened the door. Overall, you have no feeling of security, even if you are parked next to your room i was constantly checking outside on my vehicle.",HardRockHotelSG-Exterior.png,10010930-2048x1536-FIT_AND_TRIM-ddc3a13e425072054a8ffb26bbdb3cc3.png,Cara-Membedakan-Hotel-Bintang-Satu-Hingga-Lima.png,aad95d3666d3d52c381be4c11cf367da.png
445477,29853,7/4/2013,33,164,164,13502,3,0,3.33,2.85,15,20.77,0,13741,2,36,2,0,1,0,1,0,0,3811 N Ocean Blvd,"Lodging,Motels,Hotels",Fort Lauderdale,US,26.174261,-80.09953,Ocean Breeze Motel Apts,33308,Lauderdale By The Sea,"I am the disabled victim of a drunk driver. For 5 years now, I have been on very heavy doses of narcotic pain medication, and will be for life. It is very dangerous living alone, and I won't tolerate another human living with me. So, I have a specially trained dog trained as an alert dog to watch me and make my life safe to live. Last month, we (my dog, Dana and I) went to Ft Lauderdale, and we stayed at the Ocean breeze motel. We had a wonderful stay. The motel doesn't allow regular p...view moreets, which is one of the reasons we chose it. Less to possibly distract Dana. Beyond that, the rates were low enough for a lower income (the drunk was uninsured) disabled man and his K9 assistant. The owners treated us wonderfully, as they treat their property. What a great place to spend a week in paradise. After the grueling Chicago winter we have suffered (08-09), this motel felt like our home away from home, and we would definitely choose them if we ever would go to Ft Lauderdale again. Shaun Adams and Dana the Doberman service dog Chicago, Ilview less",kviknes-hotel.png,20001298-476e1b64c017ec1946ef669c4fe28e39.png,Conrad-Seoul.png,image_1507810068_59df5b14811f9.png
445478,29853,7/5/2013,33,164,164,21936,5,0,2.2,5.61,19,358.85,1,13741,2,36,2,0,1,0,1,0,0,2316 Shepherd,Hotels,Branson,US,36.65133,-93.26739,Days Inn Branson / Near The Strip,65616,Bull Creek Village,"Hotel was off the strip, but close to a shortcut to downtown -made it easier to avoid some of the traffic. When I was checking in, lady had a meeting or something to get to, so I felt like I was inconveniencing her. Her replacement was ok, not really friendly, but not rude. Staff was better the next day.",01.png,772cc72f9d0169bf8e9f619dd47097bb.png,download.png,Kamar Mandi Mewah.png
445479,29853,7/6/2013,33,164,164,24238,3,0,3.09,2.85,26,18.9,1,13741,2,36,2,0,1,0,1,0,0,525 Main Ave N,"Hotel,Lodging,Motels,Hotels",Harmony,US,43.56077,-92.010704,Country Lodge Motel,55939,MN,"We stayed here for Luther Family weekend in September. We could not get a hotel in Decorah Iowa and this was the next closest place. It is a small hotel with a small parking lot. Friday night when we checked in we were greeted and given our key, and it is literally a key not the credit card looking keys... More",1246280_16061017110043391702.png,akusara-jungle-resort-and-spa.png,hotel-1330834_1280-770x424.png,Kamar-Mandi-Ala-Hotel-ini-735x400.png
,,7/7/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604614790315.png,ATM_1152.png,Hotel-Instagramable-di-Jakarta-9-Traveloka.png,Kamar-mandi-hotel.png
445481,29853,7/8/2013,33,164,164,54441,4,0,3.37,4.25,28,55.83,0,13741,2,36,2,0,1,0,1,0,0,12439 Northwest Fwy,"Hotel & Motel Reservations,Hotels,Hotels & Motels,Motels",Houston,US,29.836717,-95.488039,Quality Inn,77092,TX,What Happened to this Place!!!! I come this hotel 8-12 times a year and know it well. They did major updates to a property that looked good already. The place feels super-clean and fresh. The front desk staff is always friendly. I really enjoy staying here.,5fed9d32d8420.png,bar-hotel-terbaik-versi-alia-akkam-2.png,interior-kamar-hotel-bintang-5-28.png,photo-kamar-mandi-utama-master-room-bathroom-desain-arsitek-oleh-wirianto-witarsa.png
445482,29853,7/9/2013,33,164,164,59472,5,0,2.64,5.61,24,160.82,1,13741,2,36,2,0,1,0,1,0,0,4963 Southport Supply Rd,Hotels,Southport,US,33.9534,-78.0521,Comfort Suites Southport,28461,Blng Spg Lks,We got there and our room wasn't ready for us yet. We were switched to another room and upon inspection of that room we found hair and stains all over the bed. We were then switched to another room that was set for someone with handicap accessibility which is fine but after inquiring about our original room we find out that that room has now been given to someone else. After all the inconvenience there're was no compensation what so ever. Would not give his a recommendation for anyone.,96959_v6.png,belviu-hotel-bandung-promo-buy-one-get_200304150028-699.png,interior-modern-comfortable-hotel-room-scaled.png,photo_34153577.png
445483,29853,7/10/2013,33,164,164,64156,2,0,3.26,3.23,25,21.35,1,13741,2,36,2,0,1,0,1,0,0,1105 Sawmill Rd,"Banquet Halls & Reception Facilities,Meeting & Event Planning Services,Hotels",Laurel,US,31.693611,-89.13289,Ramada,39440,Calhoun,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,cd0d60d6_y.png,fasilitas-hotel-6.png,Kamar-Hotel-Bintang-3...png,12-image_1507806674_59df4dd24e1e7.png
445484,29853,7/11/2013,33,164,164,65492,3,0,3,2.85,1,32.41,0,13741,2,36,2,0,1,0,1,0,0,716 21st St,Hotels,Virginia Beach,US,36.84766,-75.98443,Ambassadors Inn and Suites,23451,VA,Relaxing. Nice and peaceful.,even-hotels-eugene-5405616297-4x3.png,green-bar-at-hotel-cafe.png,Kamar-Hotel-Terbaik-2019-Ada-dari-Indonesia.png,2020_06_18-_-Desain-kamar-mandi-hotel-hotel-terbaik-di-dunia.png
445485,29853,7/12/2013,33,164,164,65528,5,0,1.39,5.74,10,196.03,1,13741,2,36,2,0,1,0,1,0,0,Europark Fichtenhain A1,Hotels,Terre Haute,US,51.295746,6.557915,Tryp Dusseldorf Krefeld Hotel,47807,IN,"My experience was good, however, we had booked 4 non-smoking rooms and one of my colleagues was given a smoking room which was very unpleasant. He was not able to get a decent sleep because of the terrible smoke smell in the room. I am sure he would have rated it much lower than I.",fachada.png,hotel-yasmin-puncak-e1503038242833.png,Trans-Luxury-Hotel-Bandung.png,36.png
445486,29853,7/13/2013,33,164,164,70512,3,0,2.56,3.08,21,28.04,1,13741,2,36,2,0,1,0,1,0,0,206 N Coast Hwy,"Hotels,Lodging,Motels",Newport,US,44.63752,-124.0607,Rodeway Inn,97365,OR,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,01.png,ini-hotel-dengan-fasilitas-spa-terbesar-di-dunia-mEB-thumb.png,855328880.png,5db25f8d51968.png
445487,29853,7/14/2013,33,164,164,73792,3,0,2.48,3.04,22,38.97,0,13741,2,36,2,0,1,0,1,0,0,8 E 12th St,"Bed & Breakfasts,Hotels & Motels,Hotel",Holland,US,42.78621,-86.106875,Centennial Bed and Breakfast,49423,MI,"As everyone else has mentioned, you can walk downtown. Nice historic home and overall friendly owners. What we did not like was being told that we could not eat nor drink in our room due to new carpet installation. It would have been nice to know that prior to the reservation, as we do enjoy things like snacks and wine... More",1246280_16061017110043391702.png,Pengalaman-Menginap-di-Hard-Rock-Hotel-Singapura-yang-Bernuansa-Rock-n-Roll-1.png,Aplikasi Pemesanan Kamar Hotel Antisipasi Kenaikan Permintaan Libur Lebaran.png,aad95d3666d3d52c381be4c11cf367da.png
445488,29853,7/15/2013,33,164,164,78630,3,0,3.37,2.85,13,32.91,0,13741,2,36,2,0,1,0,1,0,0,720 E Harbor St,"Hotel,Hotels",Oscoda,US,44.407978,-83.32794,Americinn Lodge Suites Oscoda - Ausable River,48750,MI,The entire staff made you feel as if you part of their family all friendly and extremely helpful ! The pool area was clean and warm. They let us us the special room so we could play our card games and even brought us warm cookies,1604614790315.png,Y904407088.png,Cara-Membedakan-Hotel-Bintang-Satu-Hingga-Lima.png,image_1507810068_59df5b14811f9.png
445489,29853,7/16/2013,33,164,164,81595,4,0,1.1,4.42,6,61.7,1,13741,2,36,2,0,1,0,1,0,0,760 Langhorne Newtown Rd,"Party & Event Planners,Restaurants,Hotels,Wedding Reception Locations & Services",Langhorne,US,40.189476,-74.92503,Bridgetown Mill House Restaurant Inn,19047,Upper Holland,"Had an excellent stay!!! The rooms are lovely, clean, dark for sleeping. Central air with a gas fireplace in case you get cool. Very attentive and kind helpful staff. I will be back on my next trip. I HIGHLY recommend this place to everyone. It's also a perfect romantic get away. The larger rooms have canopy beds and living space.... More",5fed9d32d8420.png,10010930-2048x1536-FIT_AND_TRIM-ddc3a13e425072054a8ffb26bbdb3cc3.png,Conrad-Seoul.png,Kamar Mandi Mewah.png
445490,29853,7/17/2013,33,164,164,82370,4,0,3.14,4.42,18,82.62,0,13741,2,36,2,0,1,0,1,0,0,Avenida Joan Miro 21,Hotels,Clifton,US,39.5639,2.62598,Gran Melia Victoria,7014,NJ,Brilliant! You must stay here!cant praise hotel and staff enough.,96959_v6.png,20001298-476e1b64c017ec1946ef669c4fe28e39.png,download.png,Kamar-Mandi-Ala-Hotel-ini-735x400.png
445491,29853,7/18/2013,33,164,164,83078,3,0,3.18,3.04,16,33.77,1,13741,2,36,2,0,1,0,1,1,0,729 E Centre St,"Bed & Breakfast & Inns,Hotels,Lodging",Mahanoy City,US,40.814148,-76.13433,Kaier Mansion,17948,Boston Run,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,cd0d60d6_y.png,772cc72f9d0169bf8e9f619dd47097bb.png,hotel-1330834_1280-770x424.png,Kamar-mandi-hotel.png
445492,29853,7/19/2013,33,164,164,102899,4,0,0,4.4,7,168.85,0,13741,2,36,2,0,1,0,1,0,0,18980 Upper Belmont Pl,"Conference & Convention Centers,Wholesale Copiers,Conventions,Hotels & Motels,Lodging,Meeting Room,Resorts,Convention Center,Resort",Leesburg,US,39.094056,-77.485577,The National Conference Center,20176,VA,"This facility is absolutely disgusting. The health department should be sent out for random checks of the food facilities if they aren't already. The place smells - shower curtains are torn, mold in many areas - the worst of course being the showers. It needs to be shut down and gutted. Absolutely a disaster.",even-hotels-eugene-5405616297-4x3.png,akusara-jungle-resort-and-spa.png,Hotel-Instagramable-di-Jakarta-9-Traveloka.png,photo-kamar-mandi-utama-master-room-bathroom-desain-arsitek-oleh-wirianto-witarsa.png
445493,29853,7/20/2013,33,164,164,107863,4,0,0.69,4.42,12,149.37,0,13741,2,36,2,0,1,0,1,0,0,1112 Highway 321 N,"Banquet Rooms,Reception Centers,Lodging,Hotels & Motels,Beach Hotels,Budget Hotels,Business Hotels,Family-Friendly Hotels,Tourist Hotels,Weekend Getaway Hotels,Wedding Sites",Lenoir City,US,35.82745,-84.27773,Holiday Inn Express & Suites Lenoir City (knoxville Area),37771,TN,Always stay here for our first night before a cabin in the Smoky Mountains. This time the room was just so so. Needs new mattresses and comforters. They were both a little worn. Not enough towels in bathroom and had to ask for more. The breakfast was wonderful and we still had a good quiet rest. Will stay here in... More,fachada.png,ATM_1152.png,interior-kamar-hotel-bintang-5-28.png,photo_34153577.png
445494,29853,7/21/2013,33,164,164,112673,3,0,2.48,3.08,8,47.62,0,13741,2,36,2,0,1,0,1,0,0,595 Vail Valley Dr,"Resorts,Places Of Interest,Tourist Information & Attractions,Lodging,Camps-Recreational,Wedding Reception Locations & Services,Meeting & Event Planning Services,Conference Centers,Condominium Management,Hotels,Vacation Homes Rentals & Sales",Vail,US,39.6387,-106.368201,Manor Vail Lodge,81657,West Vail,"$10 parking for Tuesday Hot Summer Nights at Manor Vail, gets a $10 cert for apps at their bar.",HardRockHotelSG-Exterior.png,bar-hotel-terbaik-versi-alia-akkam-2.png,interior-modern-comfortable-hotel-room-scaled.png,12-image_1507806674_59df4dd24e1e7.png
